"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
Netherlands,2846126,17471,20004,85,2216825,12571,609297,651,165573.0,1164.0,19205114,1117254,17189574,Europe,1016.4,4.9,35445.7
Philippines,2836004,183,49961,25,2774013,310,12030,899,25393.0,447.0,24522686,219573,111683522,Asia,1.6,0.2,107.7
Malaysia,2683523,5058,30831,44,2591819,4997,60873,393,81408.0,935.0,39027002,1183935,32963803,Asia,153.4,1.3,1846.7
Czechia,2312795,14243,34315,97,2008114,578,270366,1086,215391.0,3196.0,45289898,4217861,10737646,Europe,1326.5,9.0,25179.3
Peru,2251027,1356,201650,123,0,0,0,993,66927.0,5995.0,20753581,617044,33633902,South America,40.3,3.7,0.0
Thailand,2160780,4193,21110,28,2082951,7863,56719,1369,30845.0,301.0,14913135,212885,70052677,Asia,59.9,0.4,809.7
Iraq,2087247,545,23959,16,2054081,663,9207,84,50268.0,577.0,16527739,398045,41522281,Asia,13.1,0.4,221.7
Belgium,1914527,16029,27463,47,1411414,8362,475650,825,164163.0,2355.0,25683360,2202239,11662387,Europe,1374.4,4.0,40785.0
Canada,1827755,4745,29900,24,1764867,3028,32988,469,47823.0,782.0,49829014,1303763,38219377,North America,124.2,0.6,863.1
Romania,1791502,931,57563,72,1711942,2240,21997,706,94030.0,3021.0,16357744,858564,19052454,Europe,48.9,3.8,1154.5
Chile,1779865,1495,38638,38,1676752,2105,64475,682,91969.0,1997.0,26225407,1355119,19352846,South America,77.2,2.0,3331.6
Japan,1728410,173,18371,2,1709126,118,913,27,13727.0,146.0,28364634,225263,125917681,Asia,1.4,0.0,7.3
Bangladesh,1578819,269,28017,1,1543740,249,7062,1369,9451.0,168.0,11082954,66343,167055318,Asia,1.6,0.0,42.3
Vietnam,1382272,14839,27402,216,1052341,1362,302529,7681,14019.0,278.0,70692311,716949,98601587,Asia,150.5,2.2,3068.2
Israel,1349385,426,8210,0,1335236,589,5939,92,144691.0,880.0,35924740,3852106,9326000,Asia,45.7,0.0,636.8
Pakistan,1288366,313,28812,9,1250069,648,9485,758,5674.0,127.0,22428325,98772,227071093,Asia,1.4,0.0,41.8
Serbia,1271794,1387,12113,38,1223753,2732,35928,187,146409.0,1394.0,6955451,800713,8686577,Europe,159.7,4.4,4136.0
Sweden,1229217,0,15158,0,1166352,1011,47707,48,120629.0,1488.0,13934770,1367481,10190099,Europe,0.0,0.0,4681.7
Austria,1221095,3659,13076,65,1129438,9572,78581,598,134474.0,1440.0,114403886,12598818,9080525,Europe,403.0,7.2,8653.8
Portugal,1185036,3742,18626,16,1101911,4357,64499,137,116709.0,1834.0,22443244,2210329,10153801,Europe,368.5,1.6,6352.2
Hungary,1182922,6884,36429,166,968897,13649,177596,573,122902.0,3785.0,8768881,911057,9624951,Europe,715.2,17.2,18451.6
Switzerland,1106573,5213,11783,11,887573,3703,207217,273,126525.0,1347.0,13030943,1489947,8745908,Europe,596.1,1.3,23693.0
Jordan,1003428,4936,11917,38,924702,4042,66809,1218,96957.0,1151.0,12619199,1219341,10349193,Asia,476.9,3.7,6455.5
Greece,994901,5087,19085,103,905524,3742,70292,702,96130.0,1844.0,40028300,3867629,10349571,Europe,491.5,10.0,6791.8
Kazakhstan,978362,648,12828,14,946451,922,19083,528,51222.0,672.0,11575012,606005,19100508,Asia,33.9,0.7,999.1
Cuba,963493,65,8311,0,954741,82,441,15,85139.0,734.0,11289974,997644,11316640,North America,5.7,0.0,39.0
Morocco,951267,175,14795,1,934373,364,2099,347,25339.0,394.0,10547914,280968,37541305,Africa,4.7,0.0,55.9
