"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Croatia,"648,003","+3,797","11,516 ",+71,"609,663","+4,585","26,824",326,"159,264","2,830","3,559,322","874,800","4,068,726 ",Europe
Guatemala,"621,844",+516,"16,029 ",+9,"604,817",+572,998,5,"33,809",871,"3,180,830","172,937","18,393,028 ",North America
Ireland,"614,952","+4,097","5,788 ",,"475,058","+2,968","134,106",110,"122,566","1,154","9,313,992","1,856,371","5,017,312 ",Europe
Azerbaijan,"602,137","+1,109","8,055 ",+17,"573,034","+1,946","21,048",,"58,625",784,"5,655,385","550,618","10,270,969 ",Asia
Sri Lanka,"571,426",+754,"14,573 ",+18,"544,200",+377,"12,653",,"26,525",676,"5,726,599","265,825","21,542,773 ",Asia
Costa Rica,"567,995",+89,"7,332 ",+4,"558,639",+438,"2,024",64,"110,051","1,421","2,839,020","550,070","5,161,199 ",North America
Saudi Arabia,"550,136",+48,"8,851 ",+1,"539,338",+61,"1,947",29,"15,455",249,"31,908,463","896,425","35,595,239 ",Asia
Bolivia,"549,638","+1,746","19,281 ",+5,"501,698","+1,123","28,659",220,"46,178","1,620","2,593,083","217,860","11,902,544 ",South America
Denmark,"542,794","+6,599","2,996 ",+13,"467,910","+4,065","71,888",65,"93,237",515,"97,849,184","16,807,870","5,821,629 ",Europe
Ecuador,"530,865",,"33,498 ",,"443,880",,"53,487",759,"29,445","1,858","2,053,558","113,902","18,029,171 ",South America
Myanmar,"526,024",+274,"19,170 ",+8,"502,325",+805,"4,529",,"9,575",349,"5,766,977","104,976","54,935,909 ",Asia
S. Korea,"503,606","+7,022","4,130 ",+53,"426,441","+2,221","73,035",852,"9,811",80,"15,804,065","307,874","51,332,851 ",Asia
Lithuania,"488,081","+1,704","6,941 ",+16,"452,508","+1,388","28,632",121,"182,977","2,602","6,324,027","2,370,815","2,667,449 ",Europe
Panama,"480,217",+127,"7,385 ",+3,"469,905",+215,"2,927",14,"108,827","1,674","4,296,722","973,728","4,412,653 ",North America
Paraguay,"463,650",+70,"16,500 ",+8,"446,487",+55,663,55,"63,874","2,273","1,975,521","272,154","7,258,846 ",South America
Slovenia,"437,689","+1,323","5,384 ",+19,"408,339","+2,348","23,966",242,"210,493","2,589","1,988,559","956,337","2,079,350 ",Europe
Venezuela,"437,113",+511,"5,229 ",+6,"424,783",+600,"7,101",681,"15,435",185,"3,359,014","118,611","28,319,663 ",South America
Palestine,"433,547",+330,"4,568 ",+6,"425,257",+260,"3,722",55,"82,233",866,"2,776,809","526,692","5,272,173 ",Asia
Kuwait,"413,637",+29,"2,466 ",,"410,835",+25,336,3,"94,836",565,"5,531,858","1,268,310","4,361,599 ",Asia
Dominican Republic,"409,862",+372,"4,218 ",+4,"403,895",+361,"1,749",116,"37,244",383,"2,496,351","226,843","11,004,772 ",North America
Uruguay,"402,149",+252,"6,141 ",+1,"393,681",+235,"2,327",15,"115,193","1,759","4,195,353","1,201,729","3,491,098 ",South America
Mongolia,"384,912",+286,"2,028 ",+2,"313,256",,"69,628",192,"114,749",605,"4,030,048","1,201,433","3,354,369 ",Asia
Honduras,"378,547",+124,"10,419 ",+3,"122,570",+98,"245,558",53,"37,363","1,028","1,126,359","111,173","10,131,626 ",North America
Libya,"377,450",+577,"5,540 ",+11,"362,177","+1,269","9,733",,"53,875",791,"1,946,252","277,799","7,005,979 ",Africa
Ethiopia,"372,868",+157,"6,822 ",+3,"350,191",+119,"15,855",169,"3,132",57,"3,924,351","32,960","119,063,297 ",Africa
Moldova,"369,013",+516,"9,333 ",+18,"353,011",,"6,669",234,"91,784","2,321","2,241,776","557,596","4,020,433 ",Europe
Egypt,"367,456",+822,"20,966 ",+47,"305,652",+905,"40,838",90,"3,496",199,"3,693,367","35,136","105,115,032 ",Africa
Armenia,"342,115",+347,"7,767 ",+20,"324,224","+1,208","10,124",,"115,142","2,614","2,433,927","819,164","2,971,234 ",Asia
Norway,"310,781","+5,413","1,136 ",+1,"88,952",,"220,693",108,"56,687",207,"8,837,513","1,611,985","5,482,379 ",Europe
Oman,"304,679",,"4,113 ",,"300,066",,500,1,"57,556",777,"25,000,000","4,722,694","5,293,589 ",Asia
Bosnia and Herzegovina,"280,980",+511,"12,918 ",+36,"192,218",,"75,844",,"86,419","3,973","1,426,356","438,695","3,251,364 ",Europe
Bahrain,"277,997",+33,"1,394 ",,"276,292",+55,311,1,"155,599",780,"7,588,957","4,247,638","1,786,630 ",Asia
Singapore,"272,433",+454,783 ,+4,"265,242","+1,017","6,408",40,"46,045",132,"21,098,774","3,565,970","5,916,700 ",Asia
Latvia,"260,658",+650,"4,360 ",+11,"246,049","+1,075","10,249",113,"140,434","2,349","5,433,502","2,927,387","1,856,093 ",Europe
Kenya,"255,932",+136,"5,342 ",+3,"248,488",+8,"2,102",2,"4,613",96,"2,879,290","51,901","55,477,032 ",Africa
Qatar,"245,030",+163,612 ,+1,"242,081",+143,"2,337",13,"87,267",218,"3,050,843","1,086,558","2,807,805 ",Asia
Estonia,"227,446",+592,"1,845 ",+7,"211,800",+749,"13,801",25,"171,293","1,389","2,391,504","1,801,073","1,327,822 ",Europe
Australia,"225,640","+1,728","2,084 ",+2,"208,521","+1,498","15,035",87,"8,703",80,"49,631,719","1,914,328","25,926,451 ",Australia/Oceania
