"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Singapore,"803,389","+17,564","1,067 ",+18,"738,964","+23,545","63,358",30,"135,542",180,"23,230,460","3,919,267","5,927,246 ",Asia
Guatemala,"789,354","+2,485","17,045 ",+16,"734,280","+3,373","38,029",5,"42,739",923,"3,986,578","215,850","18,469,197 ",North America
Azerbaijan,"788,525",+588,"9,488 ",+15,"772,715","+1,185","6,322",,"76,616",922,"6,585,992","639,919","10,291,922 ",Asia
Panama,"757,061",+522,"8,106 ",+5,"744,734",+832,"4,221",26,"170,962","1,831","5,541,364","1,251,366","4,428,253 ",North America
Saudi Arabia,"746,836",+363,"9,005 ",+1,"726,351",+559,"11,480",461,"20,908",252,"40,943,934","1,146,255","35,719,757 ",Asia
Latvia,"689,794","+7,676","5,323 ",+24,"551,818",,"132,653",55,"372,592","2,875","6,789,961","3,667,595","1,851,339 ",Europe
Finland,"671,773","+7,185","2,387 ",+3,"46,000",,"623,386",39,"120,929",430,"10,008,882","1,801,744","5,555,109 ",Europe
Sri Lanka,"648,993",+583,"16,307 ",+20,"609,680",+195,"23,006",,"30,097",756,"6,282,076","291,331","21,563,331 ",Asia
Paraguay,"643,342",+360,"18,454 ",+14,"613,318",+912,"11,570",130,"88,384","2,535","2,538,886","348,798","7,278,951 ",South America
Kuwait,"621,965",+499,"2,543 ",+2,"612,586","+1,205","6,836",42,"142,128",581,"7,703,089","1,760,263","4,376,101 ",Asia
Myanmar,"595,821","+1,863","19,383 ",+4,"544,056","+2,408","32,382",,"10,829",352,"7,212,901","131,097","55,019,486 ",Asia
Palestine,"577,868",+382,"5,278 ",+11,"562,645","+1,305","9,945",77,"109,043",996,"3,078,533","580,914","5,299,462 ",Asia
Dominican Republic,"575,592",+155,"4,370 ",,"569,533",+239,"1,689",30,"52,186",396,"3,134,774","284,212","11,029,720 ",North America
Bahrain,"523,654","+2,041","1,458 ",+2,"499,114","+4,700","23,082",16,"290,873",810,"9,437,182","5,242,058","1,800,282 ",Asia
Venezuela,"516,236",+293,"5,645 ",+2,"505,306",+680,"5,285",230,"18,241",199,"3,359,014","118,688","28,301,251 ",South America
Estonia,"511,015","+3,304","2,275 ",+8,"393,305","+2,890","115,435",25,"384,793","1,713","3,130,373","2,357,162","1,328,026 ",Europe
Moldova,"504,307",+617,"11,269 ",+15,"481,585","+1,277","11,453",80,"125,503","2,804","3,049,219","758,835","4,018,290 ",Europe
Libya,"497,279",+501,"6,288 ",+4,"472,350","+1,148","18,641",122,"70,763",895,"2,436,098","346,656","7,027,427 ",Africa
Egypt,"488,763","+1,121","24,162 ",+13,"418,462",+983,"46,139",122,"4,630",229,"3,693,367","34,989","105,558,680 ",Africa
Ethiopia,"468,895",+45,"7,476 ",+3,"420,193",+200,"41,226",68,"3,917",62,"4,527,005","37,814","119,718,832 ",Africa
Mongolia,"465,326",+232,"2,173 ",+1,"313,256",,"149,897",192,"138,223",645,"4,030,048","1,197,105","3,366,495 ",Asia
Armenia,"421,008",+251,"8,516 ",+11,"404,993",+836,"7,499",,"141,634","2,865","2,909,913","978,944","2,972,502 ",Asia
Honduras,"413,699",,"10,785 ",,"128,408",,"274,506",105,"40,687","1,061","1,263,329","124,248","10,167,807 ",North America
Hong Kong,"403,080","+52,523","1,554 ",+188,"13,232",,"388,294",60,"53,046",205,"36,260,319","4,771,947","7,598,642 ",Asia
Oman,"383,874",,"4,248 ",,"371,874",,"7,752",55,"72,109",798,"25,000,000","4,696,166","5,323,492 ",Asia
Bosnia and Herzegovina,"372,139",+293,"15,519 ",+14,"192,218",,"164,402",,"114,621","4,780","1,706,211","525,521","3,246,705 ",Europe
Qatar,"357,920",+156,670 ,,"354,752",+385,"2,498",13,"127,473",239,"3,381,541","1,204,336","2,807,805 ",Asia
Cyprus,"329,674","+1,017",873 ,+12,"124,370",,"204,431",60,"269,771",714,"9,477,138","7,755,115","1,222,050 ",Asia
Kenya,"323,057",+32,"5,640 ",,"303,324",+28,"14,093",4,"5,795",101,"3,393,679","60,874","55,749,498 ",Africa
Zambia,"313,613",+219,"3,958 ",+1,"307,968",+301,"1,687",,"16,297",206,"3,284,188","170,665","19,243,530 ",Africa
Réunion,"302,162",,666 ,,"289,069",,"12,427",41,"333,515",735,"1,463,269","1,615,101","905,992 ",Africa
North Macedonia,"299,049",+388,"9,065 ",+15,"287,127",+749,"2,857",,"143,551","4,351","1,901,296","912,667","2,083,231 ",Europe
Albania,"272,030",+110,"3,478 ",+2,"266,958",+261,"1,594",13,"94,700","1,211","1,749,552","609,060","2,872,544 ",Europe
Algeria,"265,186",+56,"6,852 ",+4,"177,786",+54,"80,548",11,"5,870",152,"230,861","5,110","45,173,875 ",Africa
Botswana,"263,950",,"2,619 ",,"259,434",,"1,897",1,"108,579","1,077","2,026,898","833,792","2,430,939 ",Africa
Nigeria,"254,637",+31,"3,142 ",,"249,160",+6,"2,335",11,"1,186",15,"4,442,964","20,697","214,671,302 ",Africa
Zimbabwe,"238,739",+633,"5,397 ",,"227,889",+447,"5,453",12,"15,681",354,"2,098,142","137,814","15,224,451 ",Africa
Uzbekistan,"236,771",+84,"1,637 ",,"233,777",+168,"1,357",23,"6,907",48,"1,377,915","40,196","34,279,707 ",Asia
Montenegro,"230,759",+128,"2,684 ",+2,"226,889",+205,"1,186",60,"367,334","4,273","1,175,832","1,871,751","628,199 ",Europe
Mozambique,"225,121",+21,"2,195 ",+1,"219,897",+34,"3,029",13,"6,881",67,"1,275,348","38,981","32,717,400 ",Africa
Kyrgyzstan,"200,599",+23,"2,962 ",+2,"195,531",+63,"2,106",131,"29,922",442,"1,907,195","284,485","6,704,032 ",Asia
New Zealand,"188,680","+22,582",63  ,+7,"36,138","+16,875","152,479",,"37,720",13,"6,788,023","1,357,035","5,002,100 ",Australia/Oceania
Luxembourg,"186,360",+653,996 ,+1,"175,605",+560,"9,759",5,"289,832","1,549","4,081,710","6,347,985","642,993 ",Europe
Afghanistan,"174,269",+55,"7,620 ",+1,"157,251",+52,"9,398","1,124","4,314",189,"893,513","22,121","40,392,550 ",Asia
